id,identifier,category_id,cost,fling_power,fling_effect_id,timing_id,is_berry,change_stat_id,change_stat_val,change_stat_id2,change_stat_val2
1,master-ball,34,0,,,0,0,-1,100,-1,100
2,ultra-ball,34,800,,,0,0,-1,100,-1,100
3,great-ball,34,600,,,0,0,-1,100,-1,100
4,poke-ball,34,200,,,0,0,-1,100,-1,100
5,safari-ball,34,0,,,0,0,-1,100,-1,100
6,net-ball,33,1000,,,0,0,-1,100,-1,100
7,dive-ball,33,1000,,,0,0,-1,100,-1,100
8,nest-ball,33,1000,,,0,0,-1,100,-1,100
9,repeat-ball,33,1000,,,0,0,-1,100,-1,100
10,timer-ball,33,1000,,,0,0,-1,100,-1,100
11,luxury-ball,33,3000,,,0,0,-1,100,-1,100
12,premier-ball,33,20,,,0,0,-1,100,-1,100
13,dusk-ball,33,1000,,,0,0,-1,100,-1,100
14,heal-ball,33,300,,,0,0,-1,100,-1,100
15,quick-ball,33,1000,,,0,0,-1,100,-1,100
16,cherish-ball,33,0,,,0,0,-1,100,-1,100
17,potion,27,200,30,,0,0,-1,100,-1,100
18,antidote,30,200,30,,0,0,-1,100,-1,100
19,burn-heal,30,200,30,,0,0,-1,100,-1,100
20,ice-heal,30,200,30,,0,0,-1,100,-1,100
21,awakening,30,200,30,,0,0,-1,100,-1,100
22,paralyze-heal,30,200,30,,0,0,-1,100,-1,100
23,full-restore,27,3000,30,,0,0,-1,100,-1,100
24,max-potion,27,2500,30,,0,0,-1,100,-1,100
25,hyper-potion,27,1500,30,,0,0,-1,100,-1,100
26,super-potion,27,700,30,,0,0,-1,100,-1,100
27,full-heal,30,400,30,,0,0,-1,100,-1,100
28,revive,29,2000,30,,0,0,-1,100,-1,100
29,max-revive,29,4000,30,,0,0,-1,100,-1,100
30,fresh-water,27,200,30,,0,0,-1,100,-1,100
31,soda-pop,27,300,30,,0,0,-1,100,-1,100
32,lemonade,27,400,30,,0,0,-1,100,-1,100
33,moomoo-milk,27,600,30,,0,0,-1,100,-1,100
34,energy-powder,27,500,30,,0,0,-1,100,-1,100
35,energy-root,27,1200,30,,0,0,-1,100,-1,100
36,heal-powder,30,300,30,,0,0,-1,100,-1,100
37,revival-herb,29,2800,30,,0,0,-1,100,-1,100
38,ether,28,1200,30,,0,0,-1,100,-1,100
39,max-ether,28,2000,30,,0,0,-1,100,-1,100
40,elixir,28,3000,30,,0,0,-1,100,-1,100
41,max-elixir,28,4500,30,,0,0,-1,100,-1,100
42,lava-cookie,30,350,30,,0,0,-1,100,-1,100
43,berry-juice,27,200,30,,46,0,-1,100,-1,100
44,sacred-ash,29,50000,30,,0,0,-1,100,-1,100
45,hp-up,26,10000,30,,0,0,-1,100,-1,100
46,protein,26,10000,30,,0,0,-1,100,-1,100
47,iron,26,10000,30,,0,0,-1,100,-1,100
48,carbos,26,10000,30,,0,0,-1,100,-1,100
49,calcium,26,10000,30,,0,0,-1,100,-1,100
50,rare-candy,26,10000,30,,0,0,-1,100,-1,100
51,pp-up,26,10000,30,,0,0,-1,100,-1,100
52,zinc,26,10000,30,,0,0,-1,100,-1,100
53,pp-max,26,10000,30,,0,0,-1,100,-1,100
54,old-gateau,30,350,30,,0,0,-1,100,-1,100
55,guard-spec,1,1500,30,,0,0,-1,100,-1,100
56,dire-hit,1,1000,30,,0,0,-1,100,-1,100
57,x-attack,1,1000,30,,0,0,-1,100,-1,100
58,x-defense,1,2000,30,,0,0,-1,100,-1,100
59,x-speed,1,1000,30,,0,0,-1,100,-1,100
60,x-accuracy,1,1000,30,,0,0,-1,100,-1,100
61,x-sp-atk,1,1000,30,,0,0,-1,100,-1,100
62,x-sp-def,1,2000,30,,0,0,-1,100,-1,100
63,poke-doll,11,300,30,,0,0,-1,100,-1,100
64,fluffy-tail,11,100,30,,0,0,-1,100,-1,100
65,blue-flute,38,20,30,,0,0,-1,100,-1,100
66,yellow-flute,38,20,30,,0,0,-1,100,-1,100
67,red-flute,38,20,30,,0,0,-1,100,-1,100
68,black-flute,11,20,30,,0,0,-1,100,-1,100
69,white-flute,11,20,30,,0,0,-1,100,-1,100
70,shoal-salt,9,20,30,,0,0,-1,100,-1,100
